Date,Open,High,Low,Close,Adj Close,Volume
2013-06-20,59.900002,60.854286,59.310001,59.548573,52.800743,89327700
2013-06-21,59.784286,60.000000,58.299999,59.071430,52.377670,120279600
2013-06-24,58.200001,58.380001,56.864285,57.505714,50.989372,120186500
2013-06-25,57.957142,58.255714,56.975716,57.518570,51.000767,78540700
2013-06-26,57.700001,57.827145,56.522858,56.867142,50.423168,91931000
2013-06-27,57.035713,57.341427,56.220001,56.254284,49.879761,84311500
2013-06-28,55.908573,57.181427,55.552856,56.647144,50.228096,144629100
2013-07-01,57.527142,58.895714,57.317142,58.459999,51.835533,97763400
2013-07-02,58.565716,60.232857,58.495716,59.784286,53.009750,117466300
2013-07-03,60.122856,60.425713,59.635715,60.114285,53.302349,60232200
2013-07-05,60.055714,60.470001,59.335712,59.631428,52.874210,68506200
2013-07-08,60.015713,60.142857,58.664288,59.292858,52.574001,74534600
2013-07-09,59.085712,60.500000,58.625713,60.335712,53.498684,88146100
2013-07-10,59.942856,60.685715,59.750000,60.104286,53.293491,70351400
2013-07-11,60.421429,61.178570,60.167141,61.041428,54.124424,81573100
2013-07-12,61.092857,61.398571,60.487144,60.930000,54.025631,69890800
2013-07-15,60.715714,61.637142,60.685715,61.062859,54.143440,60479300
2013-07-16,60.931427,61.529999,60.595715,61.457142,54.493038,54134500
2013-07-17,61.385715,61.745716,61.174286,61.472858,54.506973,49747600
2013-07-18,61.911430,62.124287,61.515713,61.680000,54.690643,54719700
2013-07-19,61.871429,61.997143,60.621429,60.707142,53.828033,67180400
2013-07-22,61.351429,61.392857,60.781429,60.901428,54.000305,51949100
2013-07-23,60.857143,60.994286,59.815716,59.855713,53.073082,92348900
2013-07-24,62.704285,63.512856,62.180000,62.930000,55.799004,147984200
2013-07-25,62.957142,63.057144,62.258572,62.642857,55.544411,57373400
2013-07-26,62.185715,63.005714,62.048573,62.998573,55.859806,50038100
2013-07-29,62.971428,64.284286,62.885715,63.970001,56.721161,62014400
2013-07-30,64.279999,65.307144,64.175713,64.760002,57.421642,77355600
2013-07-31,64.998573,65.334282,64.204285,64.647141,57.321556,80739400
2013-08-01,65.107140,65.257141,64.751427,65.239998,57.847237,51562700
2013-08-02,65.430000,66.121429,65.237144,66.077141,58.589516,68695900
2013-08-05,66.384285,67.238571,66.021431,67.064285,59.464787,79713900
2013-08-06,66.860001,67.412857,66.024284,66.464287,58.932804,83714400
2013-08-07,66.257141,66.714287,65.967140,66.425713,58.898598,74714500
2013-08-08,66.265717,66.300003,65.421425,65.858574,58.781296,63944300
2013-08-09,65.519997,65.779999,64.807144,64.921425,57.944847,66716300
2013-08-12,65.265717,66.949997,65.232857,66.765717,59.590954,91108500
2013-08-13,67.277145,70.665718,66.864288,69.938568,62.422825,220485300
2013-08-14,71.125717,72.035713,70.485718,71.214287,63.561466,189093100
2013-08-15,70.917145,71.771431,69.868568,71.129997,63.486240,122573500
2013-08-16,71.449997,71.848572,71.265717,71.761429,64.049812,90576500
2013-08-19,72.048569,73.391426,72.000000,72.534286,64.739624,127629600
2013-08-20,72.815712,72.938568,71.545715,71.581429,63.889168,89672100
2013-08-21,71.941429,72.449997,71.599998,71.765717,64.053635,83969900
2013-08-22,72.139999,72.227142,71.171425,71.851425,64.130150,61051900
2013-08-23,71.895714,71.907143,71.335716,71.574287,63.882786,55682900
2013-08-26,71.535713,72.885712,71.500000,71.852859,64.131409,82741400
2013-08-27,71.142860,71.787140,69.471428,69.798569,62.297878,106047200
2013-08-28,69.428574,70.828575,69.428574,70.128571,62.592426,76902000
2013-08-29,70.235718,70.928574,70.161430,70.242859,62.694427,59914400
2013-08-30,70.285713,70.421425,69.500000,69.602859,62.123211,68074300
2013-09-03,70.442856,71.514282,69.621429,69.797142,62.296619,82982200
2013-09-04,71.365715,71.748573,70.897141,71.241432,63.585686,86258200
2013-09-05,71.464287,71.525711,70.519997,70.752853,63.149612,59091900
2013-09-06,71.205711,71.339996,69.992859,71.174286,63.525749,89881400
2013-09-09,72.142860,72.559998,71.925713,72.309998,64.539421,85171800
2013-09-10,72.314285,72.492859,69.928574,70.662857,63.069309,185798900
2013-09-11,66.715714,67.669998,66.401428,66.815712,59.635578,224674100
2013-09-12,66.928574,67.914284,66.572861,67.527145,60.270561,101012800
2013-09-13,67.048569,67.404289,66.385712,66.414284,59.277279,74708900
2013-09-16,65.857140,65.944283,63.888573,64.302856,57.392746,135926700
2013-09-17,63.994286,65.672859,63.928570,65.045715,58.055786,99845200
